date,year,quarter,month_number,month_name,month_short,year_month,week_number,day,day_name,day_of_week,is_weekend,month_year_sort
2016-09-04,2016,Q3,9,September,Sep,2016-09,35,4,Sunday,7,True,201609
2016-09-05,2016,Q3,9,September,Sep,2016-09,36,5,Monday,1,False,201609
2016-09-06,2016,Q3,9,September,Sep,2016-09,36,6,Tuesday,2,False,201609
2016-09-07,2016,Q3,9,September,Sep,2016-09,36,7,Wednesday,3,False,201609
2016-09-08,2016,Q3,9,September,Sep,2016-09,36,8,Thursday,4,False,201609
2016-09-09,2016,Q3,9,September,Sep,2016-09,36,9,Friday,5,False,201609
2016-09-10,2016,Q3,9,September,Sep,2016-09,36,10,Saturday,6,True,201609
2016-09-11,2016,Q3,9,September,Sep,2016-09,36,11,Sunday,7,True,201609
2016-09-12,2016,Q3,9,September,Sep,2016-09,37,12,Monday,1,False,201609
2016-09-13,2016,Q3,9,September,Sep,2016-09,37,13,Tuesday,2,False,201609
2016-09-14,2016,Q3,9,September,Sep,2016-09,37,14,Wednesday,3,False,201609
2016-09-15,2016,Q3,9,September,Sep,2016-09,37,15,Thursday,4,False,201609
2016-09-16,2016,Q3,9,September,Sep,2016-09,37,16,Friday,5,False,201609
2016-09-17,2016,Q3,9,September,Sep,2016-09,37,17,Saturday,6,True,201609
2016-09-18,2016,Q3,9,September,Sep,2016-09,37,18,Sunday,7,True,201609
2016-09-19,2016,Q3,9,September,Sep,2016-09,38,19,Monday,1,False,201609
2016-09-20,2016,Q3,9,September,Sep,2016-09,38,20,Tuesday,2,False,201609
2016-09-21,2016,Q3,9,September,Sep,2016-09,38,21,Wednesday,3,False,201609
2016-09-22,2016,Q3,9,September,Sep,2016-09,38,22,Thursday,4,False,201609
2016-09-23,2016,Q3,9,September,Sep,2016-09,38,23,Friday,5,False,201609
2016-09-24,2016,Q3,9,September,Sep,2016-09,38,24,Saturday,6,True,201609
2016-09-25,2016,Q3,9,September,Sep,2016-09,38,25,Sunday,7,True,201609
2016-09-26,2016,Q3,9,September,Sep,2016-09,39,26,Monday,1,False,201609
2016-09-27,2016,Q3,9,September,Sep,2016-09,39,27,Tuesday,2,False,201609
2016-09-28,2016,Q3,9,September,Sep,2016-09,39,28,Wednesday,3,False,201609
2016-09-29,2016,Q3,9,September,Sep,2016-09,39,29,Thursday,4,False,201609
2016-09-30,2016,Q3,9,September,Sep,2016-09,39,30,Friday,5,False,201609
2016-10-01,2016,Q4,10,October,Oct,2016-10,39,1,Saturday,6,True,201610
2016-10-02,2016,Q4,10,October,Oct,2016-10,39,2,Sunday,7,True,201610
2016-10-03,2016,Q4,10,October,Oct,2016-10,40,3,Monday,1,False,201610
2016-10-04,2016,Q4,10,October,Oct,2016-10,40,4,Tuesday,2,False,201610
2016-10-05,2016,Q4,10,October,Oct,2016-10,40,5,Wednesday,3,False,201610
2016-10-06,2016,Q4,10,October,Oct,2016-10,40,6,Thursday,4,False,201610
2016-10-07,2016,Q4,10,October,Oct,2016-10,40,7,Friday,5,False,201610
2016-10-08,2016,Q4,10,October,Oct,2016-10,40,8,Saturday,6,True,201610
2016-10-09,2016,Q4,10,October,Oct,2016-10,40,9,Sunday,7,True,201610
2016-10-10,2016,Q4,10,October,Oct,2016-10,41,10,Monday,1,False,201610
2016-10-11,2016,Q4,10,October,Oct,2016-10,41,11,Tuesday,2,False,201610
2016-10-12,2016,Q4,10,October,Oct,2016-10,41,12,Wednesday,3,False,201610
2016-10-13,2016,Q4,10,October,Oct,2016-10,41,13,Thursday,4,False,201610
2016-10-14,2016,Q4,10,October,Oct,2016-10,41,14,Friday,5,False,201610
2016-10-15,2016,Q4,10,October,Oct,2016-10,41,15,Saturday,6,True,201610
2016-10-16,2016,Q4,10,October,Oct,2016-10,41,16,Sunday,7,True,201610
2016-10-17,2016,Q4,10,October,Oct,2016-10,42,17,Monday,1,False,201610
2016-10-18,2016,Q4,10,October,Oct,2016-10,42,18,Tuesday,2,False,201610
2016-10-19,2016,Q4,10,October,Oct,2016-10,42,19,Wednesday,3,False,201610
2016-10-20,2016,Q4,10,October,Oct,2016-10,42,20,Thursday,4,False,201610
2016-10-21,2016,Q4,10,October,Oct,2016-10,42,21,Friday,5,False,201610
2016-10-22,2016,Q4,10,October,Oct,2016-10,42,22,Saturday,6,True,201610
2016-10-23,2016,Q4,10,October,Oct,2016-10,42,23,Sunday,7,True,201610
2016-10-24,2016,Q4,10,October,Oct,2016-10,43,24,Monday,1,False,201610
2016-10-25,2016,Q4,10,October,Oct,2016-10,43,25,Tuesday,2,False,201610
2016-10-26,2016,Q4,10,October,Oct,2016-10,43,26,Wednesday,3,False,201610
2016-10-27,2016,Q4,10,October,Oct,2016-10,43,27,Thursday,4,False,201610
2016-10-28,2016,Q4,10,October,Oct,2016-10,43,28,Friday,5,False,201610
2016-10-29,2016,Q4,10,October,Oct,2016-10,43,29,Saturday,6,True,201610
2016-10-30,2016,Q4,10,October,Oct,2016-10,43,30,Sunday,7,True,201610
2016-10-31,2016,Q4,10,October,Oct,2016-10,44,31,Monday,1,False,201610
2016-11-01,2016,Q4,11,November,Nov,2016-11,44,1,Tuesday,2,False,201611
2016-11-02,2016,Q4,11,November,Nov,2016-11,44,2,Wednesday,3,False,201611
2016-11-03,2016,Q4,11,November,Nov,2016-11,44,3,Thursday,4,False,201611
2016-11-04,2016,Q4,11,November,Nov,2016-11,44,4,Friday,5,False,201611
2016-11-05,2016,Q4,11,November,Nov,2016-11,44,5,Saturday,6,True,201611
2016-11-06,2016,Q4,11,November,Nov,2016-11,44,6,Sunday,7,True,201611
2016-11-07,2016,Q4,11,November,Nov,2016-11,45,7,Monday,1,False,201611
2016-11-08,2016,Q4,11,November,Nov,2016-11,45,8,Tuesday,2,False,201611
2016-11-09,2016,Q4,11,November,Nov,2016-11,45,9,Wednesday,3,False,201611
2016-11-10,2016,Q4,11,November,Nov,2016-11,45,10,Thursday,4,False,201611
2016-11-11,2016,Q4,11,November,Nov,2016-11,45,11,Friday,5,False,201611
2016-11-12,2016,Q4,11,November,Nov,2016-11,45,12,Saturday,6,True,201611
2016-11-13,2016,Q4,11,November,Nov,2016-11,45,13,Sunday,7,True,201611
2016-11-14,2016,Q4,11,November,Nov,2016-11,46,14,Monday,1,False,201611
2016-11-15,2016,Q4,11,November,Nov,2016-11,46,15,Tuesday,2,False,201611
2016-11-16,2016,Q4,11,November,Nov,2016-11,46,16,Wednesday,3,False,201611
2016-11-17,2016,Q4,11,November,Nov,2016-11,46,17,Thursday,4,False,201611
2016-11-18,2016,Q4,11,November,Nov,2016-11,46,18,Friday,5,False,201611
2016-11-19,2016,Q4,11,November,Nov,2016-11,46,19,Saturday,6,True,201611
2016-11-20,2016,Q4,11,November,Nov,2016-11,46,20,Sunday,7,True,201611
2016-11-21,2016,Q4,11,November,Nov,2016-11,47,21,Monday,1,False,201611
2016-11-22,2016,Q4,11,November,Nov,2016-11,47,22,Tuesday,2,False,201611
2016-11-23,2016,Q4,11,November,Nov,2016-11,47,23,Wednesday,3,False,201611
2016-11-24,2016,Q4,11,November,Nov,2016-11,47,24,Thursday,4,False,201611
2016-11-25,2016,Q4,11,November,Nov,2016-11,47,25,Friday,5,False,201611
2016-11-26,2016,Q4,11,November,Nov,2016-11,47,26,Saturday,6,True,201611
2016-11-27,2016,Q4,11,November,Nov,2016-11,47,27,Sunday,7,True,201611
2016-11-28,2016,Q4,11,November,Nov,2016-11,48,28,Monday,1,False,201611
2016-11-29,2016,Q4,11,November,Nov,2016-11,48,29,Tuesday,2,False,201611
